iterations,fitness,violations
1,2075,17
2,2075,17
3,2075,17
4,2075,17
5,1975,17
6,1975,17
7,1975,17
8,1975,17
9,1975,17
10,1975,17
11,1875,17
12,1873,17
13,1873,17
14,1873,17
15,1864,23
16,1864,23
17,1864,23
18,1864,23
19,1864,23
20,1781,17
21,1764,23
22,1764,23
23,1759,19
24,1759,19
25,1664,23
26,1664,23
27,1664,23
28,1664,23
29,1659,19
30,1575,21
31,1453,19
32,1453,19
33,1451,19
34,1451,19
35,1373,21
36,1373,21
37,1373,21
38,1373,21
39,1373,21
40,1373,21
41,1251,19
42,1151,19
43,1051,19
44,1051,19
45,1051,19
46,851,19
47,851,19
48,851,19
49,851,19
50,749,19
51,749,19
52,749,19
53,749,19
54,749,19
55,749,19
56,749,19
57,749,19
58,749,19
59,749,19
60,749,19
61,749,19
62,749,19
63,749,19
64,749,19
65,749,19
66,749,19
67,749,19
68,749,19
69,749,19
70,749,19
71,749,19
72,749,19
73,749,19
74,749,19
75,749,19
76,749,19
77,749,19
78,749,19
79,749,19
80,749,19
81,749,19
82,749,19
83,749,19
84,749,19
85,749,19
86,749,19
87,749,19
88,749,19
89,749,19
90,749,19
91,749,19
92,749,19
93,749,19
94,749,19
95,749,19
96,749,19
97,749,19
98,749,19
99,749,19
100,749,19
