Algorithm,Fit_Best,Fit_Worst,Fit_Mean,Fit_Std,Vio_Best,Vio_Worst,Vio_Mean,Vio_Std
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/SI/MLFLOW_ITERATION_100_SI_7/ACO,2912,3435,2937.04,109.85,25.0,30.0,25.24,1.06
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/SI/MLFLOW_ITERATION_100_SI_7/PSO,3021,3021,3021.0,0.0,26.0,26.0,26.0,
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/SI/MLFLOW_ITERATION_100_SI_7/POA,504,3025,1062.55,542.54,1.0,26.0,6.53,5.37
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/SI/MLFLOW_ITERATION_100_SI_7/ABC,1300,3143,2010.36,590.19,27.0,38.0,34.54,5.0
