iterations,fitness,violations
1,2059,17
2,2059,17
3,2059,17
4,1969,16
5,1969,16
6,1673,13
7,1673,13
8,1673,13
9,1673,13
10,1673,13
11,1673,13
12,1673,13
13,1673,13
14,1673,13
15,1673,13
16,1673,13
17,1673,13
18,1673,13
19,1673,13
20,1673,13
21,1673,13
22,1673,13
23,1673,13
24,1673,13
25,1673,13
26,1673,13
27,1673,13
28,1673,13
29,1673,13
30,1673,13
31,1673,13
32,1673,13
33,1673,13
34,1673,13
35,1673,13
36,1673,13
37,1673,13
38,1673,13
39,1673,13
40,1673,13
41,1673,13
42,1673,13
43,1673,13
44,1673,13
45,1673,13
46,1673,13
47,1673,13
48,1673,13
49,1673,13
50,1673,13
51,1673,13
52,1673,13
53,1673,13
54,1673,13
55,1673,13
56,1673,13
57,1673,13
58,1673,13
59,1673,13
60,1673,13
61,1673,13
62,1673,13
63,1673,13
64,1673,13
65,1673,13
66,1673,13
67,1673,13
68,1673,13
69,1673,13
70,1673,13
71,1673,13
72,1673,13
73,1673,13
74,1673,13
75,1673,13
76,1673,13
77,1673,13
78,1673,13
79,1673,13
80,1673,13
81,1673,13
82,1673,13
83,1673,13
84,1673,13
85,1673,13
86,1673,13
87,1673,13
88,1673,13
89,1673,13
90,1673,13
91,1673,13
92,1673,13
93,1673,13
94,1673,13
95,1673,13
96,1673,13
97,1673,13
98,1673,13
99,1673,13
100,1673,13
