course_id,course_name,prodi,sks,course_time_minute,course_type,teacher_priority,teacher_position,teacher_id
CIT60053,Pengembangan Gim,Teknologi Informasi,3,100,Pilihan,1,Pengampu,16
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",16
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,2,100,Pilihan,1,Pengampu,16
CIS60106,Sistem Informasi Berkelanjutan,Sistem Informasi,2,100,Pilihan,1,Pengampu,16
CIT60049,Teknologi Basis Data Non Relational,Teknologi Informasi,3,100,Pilihan,1,Pengampu,16
CIT60036,Teknologi Berbasis Cloud,Teknologi Informasi,3,100,Pilihan,1,Pengampu,16
CIS61102,Infrastruktur Teknologi Informasi,Sistem Informasi,2,100,Wajib,1,Pengampu,17
CIT61026,Internet of Things,Teknologi Informasi,4,100,Wajib,1,Pengampu,17
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,3,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",17
CIT61015,Jaringan Komputer,Teknologi Informasi,4,100,Wajib,1,Pengampu,17
CSD60713,Jaringan Terapan,Pendidikan Teknologi Informasi,3,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",17
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,2,100,Wajib,1,Pengampu,17
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,3,100,Pilihan,1,Pengampu,17
CIS61128,Keamanan Jaringan dan Siber,Sistem Informasi,3,100,Pilihan,1,Pengampu,17
CIT60047,Tata Kelola dan Kebijakan Keamanan Siber,Teknologi Informasi,2,100,Pilihan,1,Pengampu,17
CIT61024,Teknologi Keamanan Siber,Teknologi Informasi,3,100,Wajib,1,Pengampu,17
CSD60707,Big Data dan Analitik,Teknologi Informasi,3,100,Pilihan,1,Pengampu,20
CSD60708,Penambangan Data,Teknologi Informasi,3,100,Pilihan,1,Pengampu,20
CIT60052,Pengembangan Aplikasi Mobile Terapan,Teknologi Informasi,3,100,Pilihan,1,Pengampu,20
CIT60036,Teknologi Berbasis Cloud,Teknologi Informasi,3,100,Pilihan,1,Pengampu,20
CIT60051,Teknologi Smart City,Teknologi Informasi,2,100,Pilihan,1,Pengampu,20
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,2,100,Pilihan,1,Pengampu,21
CIS60104,Transformasi Pemerintah,Sistem Informasi,2,100,Pilihan,1,Pengampu,21
COM60061,Capstone Project,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,22
COM60061,Capstone Project,Teknologi Informasi,3,100,Wajib,1,Pengampu,22
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,3,100,Pilihan,1,Pengampu,22
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,3,100,Pilihan,1,Pengampu,22
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,3,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",22
COM60014,Pemrograman Dasar,Sistem Informasi,5,100,Wajib,2,Pengampu,23
CSD60708,Penambangan Data,Teknologi Informasi,3,100,Pilihan,1,Pengampu,29
CSD60708,Penambangan Data,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",30
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,3,100,Wajib,1,Pengampu,31
COM60014,Pemrograman Dasar,Sistem Informasi,5,100,Wajib,1,Pengampu,31
COM60014,Pemrograman Dasar,Teknologi Informasi,5,100,Wajib,1,Pengampu,31
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,3,100,Pilihan,1,Pengampu,31
CIS61110,Pengembangan Aplikasi Mobile,Sistem Informasi,3,100,Wajib,1,Pengampu,31
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,4,100,Wajib,1,Pengampu,31
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,3,100,Pilihan,1,Pengampu,31
CIT61026,Internet of Things,Teknologi Informasi,4,100,Wajib,1,Pengampu,35
CIT61015,Jaringan Komputer,Teknologi Informasi,4,100,Wajib,1,Pengampu,35
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,3,100,Pilihan,1,Pengampu,35
CIT60033,Sistem Forensik Digital,Teknologi Informasi,3,100,Pilihan,1,Pengampu,35
CIT60036,Teknologi Berbasis Cloud,Teknologi Informasi,3,100,Pilihan,1,Pengampu,35
CIT61024,Teknologi Keamanan Siber,Teknologi Informasi,3,100,Wajib,1,Pengampu,35
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,39
CIE61103,Komunikasi dan Teknologi Pendidikan,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,39
CIE61115,Manajemen Sistem Pendidikan,Pendidikan Teknologi Informasi,3,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",39
CIE61109,Pembelajaran Mikro,Pendidikan Teknologi Informasi,3,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",39
CIE61114,Pendidikan Orang Dewasa dan Berkelanjutan,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,39
CIE61111,Pengenalan Lapangan Persekolahan 1,Pendidikan Teknologi Informasi,1,100,Wajib,1,Pengampu,39
CIE61112,Pengenalan Lapangan Persekolahan 2,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,39
CIE61110,Perancangan Pembelajaran,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,39
CIE61101,Perkembangan Peserta Didik,Pendidikan Teknologi Informasi,3,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",39
COM60061,Capstone Project,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,40
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,3,100,Pilihan,1,Pengampu,40
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,3,100,Pilihan,1,Pengampu,40
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,2,100,Pilihan,1,Pengampu,40
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,3,100,Pilihan,1,Pengampu,41
CIT60033,Sistem Forensik Digital,Teknologi Informasi,3,100,Pilihan,1,Pengampu,41
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,3,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",45
CIT61015,Jaringan Komputer,Teknologi Informasi,4,100,Wajib,2,"Pengelola, Pengampu",46
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",46
CIT60047,Tata Kelola dan Kebijakan Keamanan Siber,Teknologi Informasi,2,100,Pilihan,2,Pengampu,46
CIT60036,Teknologi Berbasis Cloud,Teknologi Informasi,3,100,Pilihan,1,Pengampu,46
CIT60042,Teknologi Blockchain dan Platform Keuangan Digital,Teknologi Informasi,2,100,Pilihan,1,Pengampu,46
CIT61024,Teknologi Keamanan Siber,Teknologi Informasi,3,100,Wajib,2,Pengampu,46
COM60061,Capstone Project,Pendidikan Teknologi Informasi,3,100,Wajib,2,"Pengelola, Pengampu",47
COM60061,Capstone Project,Teknologi Informasi,3,100,Wajib,1,"Pengelola, Pengampu",47
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,2,100,Wajib,1,"Pengelola, Pengampu",47
CIT60048,Information Retrieval,Teknologi Informasi,2,100,Pilihan,2,"Pengelola, Pengampu",47
UBU60003,Kewirausahaan,Teknologi Informasi,2,100,Wajib,2,"Pengelola, Pengampu",47
CIS61107,Manajemen Produk,Sistem Informasi,3,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",47
CIS61119,Manajemen Risiko dan Kontrol Sistem Informasi,Sistem Informasi,2,100,Pilihan,2,"Pengelola, Pengampu",47
CIE61402,Paradigma Berpikir Komputasi,Pendidikan Teknologi Informasi,3,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",47
