iterations,fitness,violations
1,1527,12
2,1327,10
3,1230,9
4,1037,7
5,1030,7
6,929,6
7,829,5
8,729,4
9,729,4
10,722,4
11,715,4
12,714,4
13,714,4
14,714,4
15,614,3
16,614,3
17,603,3
18,603,3
19,603,3
20,595,3
21,587,3
22,580,3
23,580,3
24,578,3
25,480,2
26,478,2
27,478,2
28,478,2
29,466,2
30,466,2
31,466,2
32,466,2
33,466,2
34,374,1
35,372,1
36,372,1
37,372,1
38,372,1
39,372,1
40,372,1
41,372,1
42,372,1
43,372,1
44,372,1
45,372,1
46,370,1
47,370,1
48,370,1
49,270,0
50,270,0
51,270,0
52,270,0
53,270,0
54,270,0
55,270,0
56,270,0
57,270,0
58,270,0
59,270,0
60,270,0
61,270,0
62,270,0
63,270,0
64,270,0
65,270,0
66,270,0
67,270,0
68,270,0
69,270,0
70,270,0
71,270,0
72,270,0
73,270,0
74,270,0
75,270,0
76,270,0
77,262,0
78,262,0
79,262,0
80,262,0
81,262,0
82,262,0
83,262,0
84,262,0
85,262,0
86,262,0
87,262,0
88,262,0
89,262,0
90,262,0
91,262,0
92,262,0
93,262,0
94,262,0
95,262,0
96,262,0
97,262,0
98,262,0
99,262,0
100,262,0
