
--- Running Artificial Bee Colony Optimization with MLflow Logging ---
ABC Iteration 89/100 | Best Fitness: 1425 | Violations: 32
ABC Iteration 90/100 | Best Fitness: 1425 | Violations: 32
ABC Iteration 91/100 | Best Fitness: 1425 | Violations: 32
ABC Iteration 92/100 | Best Fitness: 1425 | Violations: 32
ABC Iteration 93/100 | Best Fitness: 1305 | Violations: 35
ABC Iteration 94/100 | Best Fitness: 1305 | Violations: 35
ABC Iteration 95/100 | Best Fitness: 1305 | Violations: 35
ABC Iteration 96/100 | Best Fitness: 1225 | Violations: 32
ABC Iteration 97/100 | Best Fitness: 1125 | Violations: 32
ABC Iteration 98/100 | Best Fitness: 1125 | Violations: 32
ABC Iteration 99/100 | Best Fitness: 1125 | Violations: 32
ABC Iteration 100/100 | Best Fitness: 1103 | Violations: 35

--- ABC Run Finished ---
Final Best Fitness: 1103
Final Hard Constraint Violations: 7
