
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 100/300 | Current Best Fitness: 4601 | Violations: 34
POA Generation 101/300 | Current Best Fitness: 4593 | Violations: 34
POA Generation 102/300 | Current Best Fitness: 4493 | Violations: 33
POA Generation 103/300 | Current Best Fitness: 4491 | Violations: 33
POA Generation 104/300 | Current Best Fitness: 4391 | Violations: 32
POA Generation 105/300 | Current Best Fitness: 4291 | Violations: 31
POA Generation 106/300 | Current Best Fitness: 4193 | Violations: 30
POA Generation 107/300 | Current Best Fitness: 4093 | Violations: 29
POA Generation 108/300 | Current Best Fitness: 3993 | Violations: 28
POA Generation 109/300 | Current Best Fitness: 3893 | Violations: 27
POA Generation 110/300 | Current Best Fitness: 3884 | Violations: 27
POA Generation 111/300 | Current Best Fitness: 3882 | Violations: 27
POA Generation 112/300 | Current Best Fitness: 3874 | Violations: 27
POA Generation 113/300 | Current Best Fitness: 3774 | Violations: 26
POA Generation 114/300 | Current Best Fitness: 3674 | Violations: 25
POA Generation 115/300 | Current Best Fitness: 3574 | Violations: 24
POA Generation 116/300 | Current Best Fitness: 3474 | Violations: 23
POA Generation 117/300 | Current Best Fitness: 3374 | Violations: 22
POA Generation 118/300 | Current Best Fitness: 3372 | Violations: 22
POA Generation 119/300 | Current Best Fitness: 3365 | Violations: 22
POA Generation 120/300 | Current Best Fitness: 3265 | Violations: 21
POA Generation 121/300 | Current Best Fitness: 3165 | Violations: 20
POA Generation 122/300 | Current Best Fitness: 3059 | Violations: 19
POA Generation 123/300 | Current Best Fitness: 2959 | Violations: 18
POA Generation 124/300 | Current Best Fitness: 2943 | Violations: 18
POA Generation 125/300 | Current Best Fitness: 2938 | Violations: 18
POA Generation 126/300 | Current Best Fitness: 2838 | Violations: 17
POA Generation 127/300 | Current Best Fitness: 2830 | Violations: 17
POA Generation 128/300 | Current Best Fitness: 2730 | Violations: 16
POA Generation 129/300 | Current Best Fitness: 2646 | Violations: 15
POA Generation 130/300 | Current Best Fitness: 2538 | Violations: 14
POA Generation 131/300 | Current Best Fitness: 2531 | Violations: 14
POA Generation 132/300 | Current Best Fitness: 2431 | Violations: 13
POA Generation 133/300 | Current Best Fitness: 2429 | Violations: 13
POA Generation 134/300 | Current Best Fitness: 2425 | Violations: 13
POA Generation 135/300 | Current Best Fitness: 2417 | Violations: 13
POA Generation 136/300 | Current Best Fitness: 2409 | Violations: 13
POA Generation 137/300 | Current Best Fitness: 2311 | Violations: 12
POA Generation 138/300 | Current Best Fitness: 2211 | Violations: 11
POA Generation 139/300 | Current Best Fitness: 2126 | Violations: 10
POA Generation 140/300 | Current Best Fitness: 2124 | Violations: 10
POA Generation 141/300 | Current Best Fitness: 2026 | Violations: 9
POA Generation 142/300 | Current Best Fitness: 2021 | Violations: 9
POA Generation 143/300 | Current Best Fitness: 2016 | Violations: 9
POA Generation 144/300 | Current Best Fitness: 1916 | Violations: 8
POA Generation 145/300 | Current Best Fitness: 1914 | Violations: 8
POA Generation 146/300 | Current Best Fitness: 1906 | Violations: 8
POA Generation 147/300 | Current Best Fitness: 1806 | Violations: 7
POA Generation 148/300 | Current Best Fitness: 1789 | Violations: 7
