Algorithm,Fit_Best,Fit_Worst,Fit_Mean,Fit_Std,Vio_Best,Vio_Worst,Vio_Mean,Vio_Std
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/TI/MLFLOW_ITERATION_100_TI_8/ACO,1903,2266,1906.63,36.3,15.0,19.0,15.04,0.4
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/TI/MLFLOW_ITERATION_100_TI_8/PSO,2084,2084,2084.0,0.0,17.0,17.0,17.0,
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/TI/MLFLOW_ITERATION_100_TI_8/POA,336,1961,564.43,272.98,0.0,16.0,2.16,2.66
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/TI/MLFLOW_ITERATION_100_TI_8/ABC,645,1774,1095.19,409.38,13.0,24.0,17.52,5.15
