iterations,fitness,violations
1,21679,205
2,20748,195
3,19535,183
4,19250,180
5,18755,175
6,18343,171
7,18061,168
8,17845,166
9,17559,163
10,17551,163
11,17353,161
12,17353,161
13,17253,160
14,17153,159
15,17153,159
16,17053,158
17,16953,157
18,16853,156
19,16753,155
20,16653,154
21,16553,153
22,16453,152
23,16353,151
24,16353,151
25,16253,150
26,16153,149
27,16153,149
28,16053,148
29,15953,147
30,15853,146
31,15853,146
32,15853,146
33,15753,145
34,15653,144
35,15553,143
36,15453,142
37,15353,141
38,15341,141
39,15241,140
40,15141,139
41,15034,138
42,14932,137
43,14832,136
44,14634,134
45,14634,134
46,14528,133
47,14428,132
48,14428,132
49,14428,132
50,14330,131
51,14230,130
52,14130,129
53,14030,128
54,13930,127
55,13924,127
56,13824,126
57,13724,125
58,13617,124
59,13517,123
60,13417,122
61,13317,121
62,13217,120
63,13117,119
64,13117,119
65,13017,118
66,13017,118
67,12917,117
68,12717,115
69,12617,114
70,12617,114
71,12517,113
72,12510,113
73,12410,112
74,12410,112
75,12319,111
76,12310,111
77,12210,110
78,12110,109
79,12012,108
80,11912,107
81,11812,106
82,11812,106
83,11705,105
84,11697,105
85,11605,104
86,11502,103
87,11402,102
88,11402,102
89,11310,101
90,11308,101
91,11210,100
92,11208,100
93,11108,99
94,11108,99
95,11008,98
96,10908,97
97,10908,97
98,10900,97
99,10800,96
100,10704,95
