
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 1/100 | Current Best Fitness: 21679 | Violations: 205
POA Generation 2/100 | Current Best Fitness: 20748 | Violations: 195
POA Generation 3/100 | Current Best Fitness: 19535 | Violations: 183
POA Generation 4/100 | Current Best Fitness: 19250 | Violations: 180
POA Generation 5/100 | Current Best Fitness: 18755 | Violations: 175
POA Generation 6/100 | Current Best Fitness: 18343 | Violations: 171
POA Generation 7/100 | Current Best Fitness: 18061 | Violations: 168
POA Generation 8/100 | Current Best Fitness: 17845 | Violations: 166
POA Generation 9/100 | Current Best Fitness: 17559 | Violations: 163
POA Generation 10/100 | Current Best Fitness: 17551 | Violations: 163
POA Generation 11/100 | Current Best Fitness: 17353 | Violations: 161
POA Generation 12/100 | Current Best Fitness: 17353 | Violations: 161
POA Generation 13/100 | Current Best Fitness: 17253 | Violations: 160
POA Generation 14/100 | Current Best Fitness: 17153 | Violations: 159
POA Generation 15/100 | Current Best Fitness: 17153 | Violations: 159
POA Generation 16/100 | Current Best Fitness: 17053 | Violations: 158
POA Generation 17/100 | Current Best Fitness: 16953 | Violations: 157
POA Generation 18/100 | Current Best Fitness: 16853 | Violations: 156
POA Generation 19/100 | Current Best Fitness: 16753 | Violations: 155
POA Generation 20/100 | Current Best Fitness: 16653 | Violations: 154
POA Generation 21/100 | Current Best Fitness: 16553 | Violations: 153
POA Generation 22/100 | Current Best Fitness: 16453 | Violations: 152
POA Generation 23/100 | Current Best Fitness: 16353 | Violations: 151
POA Generation 24/100 | Current Best Fitness: 16353 | Violations: 151
POA Generation 25/100 | Current Best Fitness: 16253 | Violations: 150
POA Generation 26/100 | Current Best Fitness: 16153 | Violations: 149
POA Generation 27/100 | Current Best Fitness: 16153 | Violations: 149
POA Generation 28/100 | Current Best Fitness: 16053 | Violations: 148
POA Generation 29/100 | Current Best Fitness: 15953 | Violations: 147
POA Generation 30/100 | Current Best Fitness: 15853 | Violations: 146
POA Generation 31/100 | Current Best Fitness: 15853 | Violations: 146
POA Generation 32/100 | Current Best Fitness: 15853 | Violations: 146
POA Generation 33/100 | Current Best Fitness: 15753 | Violations: 145
