
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 100/500 | Current Best Fitness: 5751 | Violations: 46
POA Generation 101/500 | Current Best Fitness: 5651 | Violations: 45
POA Generation 102/500 | Current Best Fitness: 5649 | Violations: 45
POA Generation 103/500 | Current Best Fitness: 5549 | Violations: 44
POA Generation 104/500 | Current Best Fitness: 5449 | Violations: 43
POA Generation 105/500 | Current Best Fitness: 5343 | Violations: 42
POA Generation 106/500 | Current Best Fitness: 5258 | Violations: 41
POA Generation 107/500 | Current Best Fitness: 5256 | Violations: 41
POA Generation 108/500 | Current Best Fitness: 5171 | Violations: 40
POA Generation 109/500 | Current Best Fitness: 5158 | Violations: 40
POA Generation 110/500 | Current Best Fitness: 5058 | Violations: 39
POA Generation 111/500 | Current Best Fitness: 4958 | Violations: 38
POA Generation 112/500 | Current Best Fitness: 4870 | Violations: 37
POA Generation 113/500 | Current Best Fitness: 4770 | Violations: 36
POA Generation 114/500 | Current Best Fitness: 4680 | Violations: 35
POA Generation 115/500 | Current Best Fitness: 4673 | Violations: 35
POA Generation 116/500 | Current Best Fitness: 4671 | Violations: 35
POA Generation 117/500 | Current Best Fitness: 4664 | Violations: 35
POA Generation 118/500 | Current Best Fitness: 4564 | Violations: 34
POA Generation 119/500 | Current Best Fitness: 4552 | Violations: 34
POA Generation 120/500 | Current Best Fitness: 4452 | Violations: 33
POA Generation 121/500 | Current Best Fitness: 4445 | Violations: 33
POA Generation 122/500 | Current Best Fitness: 4345 | Violations: 32
POA Generation 123/500 | Current Best Fitness: 4242 | Violations: 31
POA Generation 124/500 | Current Best Fitness: 4236 | Violations: 31
POA Generation 125/500 | Current Best Fitness: 4136 | Violations: 30
POA Generation 126/500 | Current Best Fitness: 4036 | Violations: 29
POA Generation 127/500 | Current Best Fitness: 3936 | Violations: 28
POA Generation 128/500 | Current Best Fitness: 3929 | Violations: 28
POA Generation 129/500 | Current Best Fitness: 3836 | Violations: 27
POA Generation 130/500 | Current Best Fitness: 3822 | Violations: 27
POA Generation 131/500 | Current Best Fitness: 3816 | Violations: 27
POA Generation 132/500 | Current Best Fitness: 3810 | Violations: 27
POA Generation 133/500 | Current Best Fitness: 3724 | Violations: 26
POA Generation 134/500 | Current Best Fitness: 3631 | Violations: 25
POA Generation 135/500 | Current Best Fitness: 3539 | Violations: 24
POA Generation 136/500 | Current Best Fitness: 3529 | Violations: 24
POA Generation 137/500 | Current Best Fitness: 3523 | Violations: 24
POA Generation 138/500 | Current Best Fitness: 3423 | Violations: 23
POA Generation 139/500 | Current Best Fitness: 3332 | Violations: 22
POA Generation 140/500 | Current Best Fitness: 3330 | Violations: 22
POA Generation 141/500 | Current Best Fitness: 3322 | Violations: 22
POA Generation 142/500 | Current Best Fitness: 3322 | Violations: 22
POA Generation 143/500 | Current Best Fitness: 3313 | Violations: 22
POA Generation 144/500 | Current Best Fitness: 3221 | Violations: 21
POA Generation 145/500 | Current Best Fitness: 3213 | Violations: 21
POA Generation 146/500 | Current Best Fitness: 3206 | Violations: 21
POA Generation 147/500 | Current Best Fitness: 3204 | Violations: 21
POA Generation 148/500 | Current Best Fitness: 3113 | Violations: 20
POA Generation 149/500 | Current Best Fitness: 3111 | Violations: 20
POA Generation 150/500 | Current Best Fitness: 3013 | Violations: 19
POA Generation 151/500 | Current Best Fitness: 3005 | Violations: 19
POA Generation 152/500 | Current Best Fitness: 2913 | Violations: 18
POA Generation 153/500 | Current Best Fitness: 2815 | Violations: 17
POA Generation 154/500 | Current Best Fitness: 2726 | Violations: 16
POA Generation 155/500 | Current Best Fitness: 2718 | Violations: 16
POA Generation 156/500 | Current Best Fitness: 2712 | Violations: 16
POA Generation 157/500 | Current Best Fitness: 2612 | Violations: 15
POA Generation 158/500 | Current Best Fitness: 2514 | Violations: 14
POA Generation 159/500 | Current Best Fitness: 2418 | Violations: 13
POA Generation 160/500 | Current Best Fitness: 2318 | Violations: 12
POA Generation 161/500 | Current Best Fitness: 2218 | Violations: 11
POA Generation 162/500 | Current Best Fitness: 2210 | Violations: 11
POA Generation 163/500 | Current Best Fitness: 2110 | Violations: 10
POA Generation 164/500 | Current Best Fitness: 2101 | Violations: 10
POA Generation 165/500 | Current Best Fitness: 2099 | Violations: 10
POA Generation 166/500 | Current Best Fitness: 2096 | Violations: 10
POA Generation 167/500 | Current Best Fitness: 2092 | Violations: 10
POA Generation 168/500 | Current Best Fitness: 2077 | Violations: 10
POA Generation 169/500 | Current Best Fitness: 2075 | Violations: 10
POA Generation 170/500 | Current Best Fitness: 2067 | Violations: 10
POA Generation 171/500 | Current Best Fitness: 2067 | Violations: 10
POA Generation 172/500 | Current Best Fitness: 2060 | Violations: 10
POA Generation 173/500 | Current Best Fitness: 2048 | Violations: 10
POA Generation 174/500 | Current Best Fitness: 2048 | Violations: 10
POA Generation 175/500 | Current Best Fitness: 2048 | Violations: 10
POA Generation 176/500 | Current Best Fitness: 1948 | Violations: 9
POA Generation 177/500 | Current Best Fitness: 1940 | Violations: 9
POA Generation 178/500 | Current Best Fitness: 1938 | Violations: 9
POA Generation 179/500 | Current Best Fitness: 1936 | Violations: 9
POA Generation 180/500 | Current Best Fitness: 1934 | Violations: 9
POA Generation 181/500 | Current Best Fitness: 1836 | Violations: 8
POA Generation 182/500 | Current Best Fitness: 1834 | Violations: 8
POA Generation 183/500 | Current Best Fitness: 1826 | Violations: 8
POA Generation 184/500 | Current Best Fitness: 1819 | Violations: 8
POA Generation 185/500 | Current Best Fitness: 1817 | Violations: 8
POA Generation 186/500 | Current Best Fitness: 1817 | Violations: 8
POA Generation 187/500 | Current Best Fitness: 1817 | Violations: 8
POA Generation 188/500 | Current Best Fitness: 1815 | Violations: 8
POA Generation 189/500 | Current Best Fitness: 1813 | Violations: 8
POA Generation 190/500 | Current Best Fitness: 1713 | Violations: 7
POA Generation 191/500 | Current Best Fitness: 1711 | Violations: 7
POA Generation 192/500 | Current Best Fitness: 1705 | Violations: 7
POA Generation 193/500 | Current Best Fitness: 1705 | Violations: 7
POA Generation 194/500 | Current Best Fitness: 1698 | Violations: 7
POA Generation 195/500 | Current Best Fitness: 1698 | Violations: 7
POA Generation 196/500 | Current Best Fitness: 1696 | Violations: 7
POA Generation 197/500 | Current Best Fitness: 1696 | Violations: 7
POA Generation 198/500 | Current Best Fitness: 1694 | Violations: 7
POA Generation 199/500 | Current Best Fitness: 1694 | Violations: 7
POA Generation 200/500 | Current Best Fitness: 1694 | Violations: 7
POA Generation 201/500 | Current Best Fitness: 1694 | Violations: 7
POA Generation 202/500 | Current Best Fitness: 1694 | Violations: 7
POA Generation 203/500 | Current Best Fitness: 1594 | Violations: 6
POA Generation 204/500 | Current Best Fitness: 1594 | Violations: 6
POA Generation 205/500 | Current Best Fitness: 1594 | Violations: 6
POA Generation 206/500 | Current Best Fitness: 1594 | Violations: 6
POA Generation 207/500 | Current Best Fitness: 1594 | Violations: 6
