
--- Menjalankan Puma Optimization Algorithm ---
POA Generation 97/200 | Best Fitness: 17518 | Hard Violations: 172
POA Generation 98/200 | Best Fitness: 17285 | Hard Violations: 170
POA Generation 99/200 | Best Fitness: 17288 | Hard Violations: 170
POA Generation 100/200 | Best Fitness: 17202 | Hard Violations: 169
POA Generation 101/200 | Best Fitness: 17201 | Hard Violations: 169
POA Generation 102/200 | Best Fitness: 17234 | Hard Violations: 169
POA Generation 103/200 | Best Fitness: 17202 | Hard Violations: 169
POA Generation 104/200 | Best Fitness: 17103 | Hard Violations: 168
POA Generation 105/200 | Best Fitness: 16813 | Hard Violations: 165
POA Generation 106/200 | Best Fitness: 16904 | Hard Violations: 166
POA Generation 107/200 | Best Fitness: 16804 | Hard Violations: 165
POA Generation 108/200 | Best Fitness: 16702 | Hard Violations: 164
POA Generation 109/200 | Best Fitness: 16792 | Hard Violations: 165
POA Generation 110/200 | Best Fitness: 16690 | Hard Violations: 164
POA Generation 111/200 | Best Fitness: 16690 | Hard Violations: 164
POA Generation 112/200 | Best Fitness: 16603 | Hard Violations: 163
POA Generation 113/200 | Best Fitness: 16679 | Hard Violations: 164
POA Generation 114/200 | Best Fitness: 16679 | Hard Violations: 164
POA Generation 115/200 | Best Fitness: 16791 | Hard Violations: 165
POA Generation 116/200 | Best Fitness: 16889 | Hard Violations: 166
POA Generation 117/200 | Best Fitness: 16892 | Hard Violations: 166
POA Generation 118/200 | Best Fitness: 16589 | Hard Violations: 163
POA Generation 119/200 | Best Fitness: 16605 | Hard Violations: 163
POA Generation 120/200 | Best Fitness: 16513 | Hard Violations: 162
POA Generation 121/200 | Best Fitness: 16421 | Hard Violations: 161
POA Generation 122/200 | Best Fitness: 16509 | Hard Violations: 162
POA Generation 123/200 | Best Fitness: 16509 | Hard Violations: 162
POA Generation 124/200 | Best Fitness: 16403 | Hard Violations: 161
POA Generation 125/200 | Best Fitness: 16453 | Hard Violations: 161
POA Generation 126/200 | Best Fitness: 16589 | Hard Violations: 162
POA Generation 127/200 | Best Fitness: 16511 | Hard Violations: 161
POA Generation 128/200 | Best Fitness: 16362 | Hard Violations: 160
POA Generation 129/200 | Best Fitness: 16362 | Hard Violations: 160
POA Generation 130/200 | Best Fitness: 16362 | Hard Violations: 160
POA Generation 131/200 | Best Fitness: 16544 | Hard Violations: 162
POA Generation 132/200 | Best Fitness: 16542 | Hard Violations: 162
POA Generation 133/200 | Best Fitness: 17021 | Hard Violations: 167
POA Generation 134/200 | Best Fitness: 16922 | Hard Violations: 166
POA Generation 135/200 | Best Fitness: 17015 | Hard Violations: 167
POA Generation 136/200 | Best Fitness: 17127 | Hard Violations: 168
POA Generation 137/200 | Best Fitness: 16929 | Hard Violations: 166
POA Generation 138/200 | Best Fitness: 16921 | Hard Violations: 166
POA Generation 139/200 | Best Fitness: 16911 | Hard Violations: 166
POA Generation 140/200 | Best Fitness: 16896 | Hard Violations: 166
POA Generation 141/200 | Best Fitness: 16886 | Hard Violations: 166
POA Generation 142/200 | Best Fitness: 16986 | Hard Violations: 167
POA Generation 143/200 | Best Fitness: 16895 | Hard Violations: 166
POA Generation 144/200 | Best Fitness: 16793 | Hard Violations: 165
POA Generation 145/200 | Best Fitness: 16789 | Hard Violations: 165
POA Generation 146/200 | Best Fitness: 16782 | Hard Violations: 165
POA Generation 147/200 | Best Fitness: 16780 | Hard Violations: 165
POA Generation 148/200 | Best Fitness: 16665 | Hard Violations: 164
POA Generation 149/200 | Best Fitness: 16663 | Hard Violations: 164
POA Generation 150/200 | Best Fitness: 16658 | Hard Violations: 164
POA Generation 151/200 | Best Fitness: 16558 | Hard Violations: 163
POA Generation 152/200 | Best Fitness: 16879 | Hard Violations: 166
POA Generation 153/200 | Best Fitness: 17160 | Hard Violations: 169
POA Generation 154/200 | Best Fitness: 17046 | Hard Violations: 168
POA Generation 155/200 | Best Fitness: 16946 | Hard Violations: 167
POA Generation 156/200 | Best Fitness: 17141 | Hard Violations: 169
POA Generation 157/200 | Best Fitness: 17643 | Hard Violations: 174
POA Generation 158/200 | Best Fitness: 18045 | Hard Violations: 178
POA Generation 159/200 | Best Fitness: 17839 | Hard Violations: 176
POA Generation 160/200 | Best Fitness: 17763 | Hard Violations: 175
POA Generation 161/200 | Best Fitness: 17745 | Hard Violations: 175
POA Generation 162/200 | Best Fitness: 17849 | Hard Violations: 176
POA Generation 163/200 | Best Fitness: 17743 | Hard Violations: 175
POA Generation 164/200 | Best Fitness: 17743 | Hard Violations: 175
POA Generation 165/200 | Best Fitness: 17643 | Hard Violations: 174
POA Generation 166/200 | Best Fitness: 17543 | Hard Violations: 173
POA Generation 167/200 | Best Fitness: 17541 | Hard Violations: 173
POA Generation 168/200 | Best Fitness: 17457 | Hard Violations: 172
POA Generation 169/200 | Best Fitness: 17656 | Hard Violations: 174
POA Generation 170/200 | Best Fitness: 17451 | Hard Violations: 172
POA Generation 171/200 | Best Fitness: 17345 | Hard Violations: 171
POA Generation 172/200 | Best Fitness: 17066 | Hard Violations: 168
POA Generation 173/200 | Best Fitness: 17378 | Hard Violations: 171
POA Generation 174/200 | Best Fitness: 17171 | Hard Violations: 169
POA Generation 175/200 | Best Fitness: 17175 | Hard Violations: 169
POA Generation 176/200 | Best Fitness: 17086 | Hard Violations: 168
POA Generation 177/200 | Best Fitness: 17094 | Hard Violations: 168
POA Generation 178/200 | Best Fitness: 17086 | Hard Violations: 168
POA Generation 179/200 | Best Fitness: 17000 | Hard Violations: 167
POA Generation 180/200 | Best Fitness: 16986 | Hard Violations: 167
POA Generation 181/200 | Best Fitness: 17177 | Hard Violations: 169
POA Generation 182/200 | Best Fitness: 17171 | Hard Violations: 169
POA Generation 183/200 | Best Fitness: 17171 | Hard Violations: 169
POA Generation 184/200 | Best Fitness: 17168 | Hard Violations: 169
POA Generation 185/200 | Best Fitness: 17182 | Hard Violations: 169
POA Generation 186/200 | Best Fitness: 17170 | Hard Violations: 169
POA Generation 187/200 | Best Fitness: 17067 | Hard Violations: 168
POA Generation 188/200 | Best Fitness: 17462 | Hard Violations: 172
POA Generation 189/200 | Best Fitness: 17562 | Hard Violations: 173
POA Generation 190/200 | Best Fitness: 17570 | Hard Violations: 173
POA Generation 191/200 | Best Fitness: 17384 | Hard Violations: 171
POA Generation 192/200 | Best Fitness: 17572 | Hard Violations: 173
POA Generation 193/200 | Best Fitness: 17561 | Hard Violations: 173
POA Generation 194/200 | Best Fitness: 17557 | Hard Violations: 173
