--- Menjalankan Ant Colony Optimization ---
ACO Iteration 133/200 | Best Fitness: 19294
ACO Iteration 134/200 | Best Fitness: 19294
ACO Iteration 135/200 | Best Fitness: 19294
ACO Iteration 136/200 | Best Fitness: 19294
ACO Iteration 137/200 | Best Fitness: 19294
ACO Iteration 138/200 | Best Fitness: 19294
ACO Iteration 139/200 | Best Fitness: 19294
ACO Iteration 140/200 | Best Fitness: 19294
ACO Iteration 141/200 | Best Fitness: 19294
ACO Iteration 142/200 | Best Fitness: 19294
ACO Iteration 143/200 | Best Fitness: 19294
ACO Iteration 144/200 | Best Fitness: 19294
ACO Iteration 145/200 | Best Fitness: 18785
ACO Iteration 146/200 | Best Fitness: 18785
ACO Iteration 147/200 | Best Fitness: 18785
ACO Iteration 148/200 | Best Fitness: 18785
ACO Iteration 149/200 | Best Fitness: 18785
ACO Iteration 150/200 | Best Fitness: 18785
ACO Iteration 151/200 | Best Fitness: 18785
ACO Iteration 152/200 | Best Fitness: 18785
ACO Iteration 153/200 | Best Fitness: 18785
ACO Iteration 154/200 | Best Fitness: 18785
ACO Iteration 155/200 | Best Fitness: 18785
ACO Iteration 156/200 | Best Fitness: 18785
ACO Iteration 157/200 | Best Fitness: 18785
ACO Iteration 158/200 | Best Fitness: 18785
ACO Iteration 159/200 | Best Fitness: 18785
ACO Iteration 160/200 | Best Fitness: 18785
ACO Iteration 161/200 | Best Fitness: 18785
ACO Iteration 162/200 | Best Fitness: 18785
ACO Iteration 163/200 | Best Fitness: 18785
ACO Iteration 164/200 | Best Fitness: 18785
ACO Iteration 165/200 | Best Fitness: 18785
ACO Iteration 166/200 | Best Fitness: 18785
ACO Iteration 167/200 | Best Fitness: 18785
ACO Iteration 168/200 | Best Fitness: 18785
ACO Iteration 169/200 | Best Fitness: 18785
ACO Iteration 170/200 | Best Fitness: 18785
ACO Iteration 171/200 | Best Fitness: 18785
ACO Iteration 172/200 | Best Fitness: 18785
ACO Iteration 173/200 | Best Fitness: 18785
ACO Iteration 174/200 | Best Fitness: 18785
ACO Iteration 175/200 | Best Fitness: 18785
ACO Iteration 176/200 | Best Fitness: 18785
ACO Iteration 177/200 | Best Fitness: 18785
ACO Iteration 178/200 | Best Fitness: 18785
ACO Iteration 179/200 | Best Fitness: 18785
ACO Iteration 180/200 | Best Fitness: 18785
ACO Iteration 181/200 | Best Fitness: 18785
ACO Iteration 182/200 | Best Fitness: 18785
ACO Iteration 183/200 | Best Fitness: 18785
ACO Iteration 184/200 | Best Fitness: 18785
ACO Iteration 185/200 | Best Fitness: 18785
ACO Iteration 186/200 | Best Fitness: 18785
ACO Iteration 187/200 | Best Fitness: 18785
ACO Iteration 188/200 | Best Fitness: 18785
ACO Iteration 189/200 | Best Fitness: 18785
ACO Iteration 190/200 | Best Fitness: 18785
ACO Iteration 191/200 | Best Fitness: 18785
ACO Iteration 192/200 | Best Fitness: 18785
ACO Iteration 193/200 | Best Fitness: 18785
ACO Iteration 194/200 | Best Fitness: 18785
ACO Iteration 195/200 | Best Fitness: 18785
ACO Iteration 196/200 | Best Fitness: 18785
ACO Iteration 197/200 | Best Fitness: 18785
ACO Iteration 198/200 | Best Fitness: 18785
ACO Iteration 199/200 | Best Fitness: 18785
ACO Iteration 200/200 | Best Fitness: 18785

--- Hasil ACO ---
Skor Fitness Terbaik: 18785
Jumlah Pelanggaran Hard Constraint: 184
Jadwal terbaik dari ACO disimpan sebagai 'jadwal_aco.csv'
