kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIS60107,Gudang Data,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",72.0,"['72.0', '73.0', '102.0', '16.0']",reguler,F3.14,Selasa_10:20-11:10
CIS61102,Infrastruktur Teknologi Informasi,Sistem Informasi,1,Pengampu,17.0,"['17.0', '103.0']",reguler,F4.6,Senin_10:20-11:10
CIS61103,Manajemen Bisnis,Sistem Informasi,1,Pengampu,87.0,"['87.0', '108.0']",reguler,F2.6,Rabu_17:00-17:50
CIS61104,Pengantar Sistem informasi,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,"['47.0', '108.0', '67.0', '102.0']",reguler,F2.5,Senin_11:10-12:00
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,1,Pengampu,17.0,"['17.0', '75.0', '108.0']",reguler,F4.6,Senin_07:00-07:50
CIS61107,Manajemen Produk,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,"['47.0', '60.0']",reguler,F3.5a,Senin_08:40-09:30
CIS61108,Rekayasa Sistem Informasi,Sistem Informasi,1,"Pengelola, Pengampu",4.0,"['4.0', '47.0', '67.0', '108.0']",reguler,F2.5,Kamis_10:20-11:10
CIS61110,Pengembangan Aplikasi Mobile,Sistem Informasi,1,"Pengelola, Pengampu",4.0,"['4.0', '47.0', '31.0', '60.0', '75.0']",reguler,F3.5a,Kamis_07:50-08:40
CIS61111,Sistem Informasi berbasis Kecerdasan Buatan,Sistem Informasi,1,Pengampu,87.0,"['87.0', '89.0', '108.0']",reguler,F4.12,Jumat_16:10-17:00
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,"Pengelola, Pengampu",47.0,"['47.0', '6.0', '67.0', '76.0', '87.0', '102.0']",reguler,F2.9,Selasa_15:20-16:10
CIS61113,Sistem Enterprise,Sistem Informasi,1,Pengampu,76.0,['76.0'],reguler,F4.6,Selasa_16:10-17:00
CIS61115,Komunikasi Profesional,Sistem Informasi,1,Pengampu,87.0,"['87.0', '108.0']",reguler,F3.1,Jumat_07:00-07:50
CIS61118,Rekayasa Kebutuhan Sistem Informasi,Sistem Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F3.12,Jumat_11:10-12:00
CIS61119,Manajemen Risiko dan Kontrol Sistem Informasi,Sistem Informasi,1,Pengampu,6.0,"['6.0', '47.0']",reguler,F3.5a,Jumat_07:00-07:50
CIS61120,Perbaikan Proses Bisnis,Sistem Informasi,1,Pengampu,6.0,"['6.0', '108.0']",reguler,F2.1,Selasa_08:40-09:30
CIS61123,Enterprise Architecture II,Sistem Informasi,1,Pengampu,76.0,"['76.0', '87.0', '6.0']",reguler,F3.7a,Rabu_12:50-13:40
CIS61124,Pengembangan Gim,Sistem Informasi,1,"Pengelola, Pengampu",47.0,"['47.0', '103.0']",reguler,F4.9,Senin_12:50-13:40
