
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 42/100 | Current Best Fitness: 536 | Violations: 2
POA Generation 43/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 44/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 45/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 46/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 47/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 48/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 49/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 50/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 51/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 52/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 53/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 54/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 55/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 56/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 57/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 58/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 59/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 60/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 61/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 62/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 63/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 64/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 65/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 66/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 67/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 68/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 69/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 70/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 71/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 72/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 73/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 74/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 75/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 76/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 77/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 78/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 79/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 80/100 | Current Best Fitness: 336 | Violations: 0
