
--- Running Artificial Bee Colony Optimization with MLflow Logging ---
ABC Iteration 1/100 | Best Fitness: 21081 | Violations: 198
ABC Iteration 2/100 | Best Fitness: 21081 | Violations: 198
ABC Iteration 3/100 | Best Fitness: 21081 | Violations: 198
ABC Iteration 4/100 | Best Fitness: 21081 | Violations: 198
ABC Iteration 5/100 | Best Fitness: 21081 | Violations: 198
ABC Iteration 6/100 | Best Fitness: 21081 | Violations: 198
ABC Iteration 7/100 | Best Fitness: 21081 | Violations: 198
ABC Iteration 8/100 | Best Fitness: 21081 | Violations: 198
ABC Iteration 9/100 | Best Fitness: 21081 | Violations: 198
ABC Iteration 10/100 | Best Fitness: 21081 | Violations: 198
ABC Iteration 11/100 | Best Fitness: 20886 | Violations: 198
ABC Iteration 12/100 | Best Fitness: 20886 | Violations: 198
ABC Iteration 13/100 | Best Fitness: 20886 | Violations: 198
ABC Iteration 14/100 | Best Fitness: 20886 | Violations: 198
ABC Iteration 15/100 | Best Fitness: 20788 | Violations: 198
ABC Iteration 16/100 | Best Fitness: 20788 | Violations: 198
ABC Iteration 17/100 | Best Fitness: 20688 | Violations: 198
ABC Iteration 18/100 | Best Fitness: 20588 | Violations: 198
ABC Iteration 19/100 | Best Fitness: 20588 | Violations: 198
ABC Iteration 20/100 | Best Fitness: 20588 | Violations: 198
ABC Iteration 21/100 | Best Fitness: 20547 | Violations: 209
ABC Iteration 22/100 | Best Fitness: 20517 | Violations: 209
ABC Iteration 23/100 | Best Fitness: 20447 | Violations: 209
ABC Iteration 24/100 | Best Fitness: 20394 | Violations: 198
ABC Iteration 25/100 | Best Fitness: 20323 | Violations: 209
ABC Iteration 26/100 | Best Fitness: 20323 | Violations: 209
ABC Iteration 27/100 | Best Fitness: 20141 | Violations: 210
ABC Iteration 28/100 | Best Fitness: 20041 | Violations: 210
ABC Iteration 29/100 | Best Fitness: 20027 | Violations: 209
ABC Iteration 30/100 | Best Fitness: 20027 | Violations: 209
ABC Iteration 31/100 | Best Fitness: 19919 | Violations: 209
ABC Iteration 32/100 | Best Fitness: 19919 | Violations: 209
ABC Iteration 33/100 | Best Fitness: 19819 | Violations: 209
ABC Iteration 34/100 | Best Fitness: 19819 | Violations: 209
ABC Iteration 35/100 | Best Fitness: 19519 | Violations: 209
ABC Iteration 36/100 | Best Fitness: 19519 | Violations: 209
ABC Iteration 37/100 | Best Fitness: 19512 | Violations: 209
ABC Iteration 38/100 | Best Fitness: 19512 | Violations: 209
ABC Iteration 39/100 | Best Fitness: 19412 | Violations: 209
ABC Iteration 40/100 | Best Fitness: 19412 | Violations: 209
ABC Iteration 41/100 | Best Fitness: 19314 | Violations: 209
ABC Iteration 42/100 | Best Fitness: 19314 | Violations: 209
ABC Iteration 43/100 | Best Fitness: 19314 | Violations: 209
ABC Iteration 44/100 | Best Fitness: 19214 | Violations: 209
ABC Iteration 45/100 | Best Fitness: 19214 | Violations: 209
ABC Iteration 46/100 | Best Fitness: 19214 | Violations: 209
ABC Iteration 47/100 | Best Fitness: 19114 | Violations: 209
ABC Iteration 48/100 | Best Fitness: 18994 | Violations: 198
ABC Iteration 49/100 | Best Fitness: 18994 | Violations: 198
ABC Iteration 50/100 | Best Fitness: 18949 | Violations: 210
ABC Iteration 51/100 | Best Fitness: 18880 | Violations: 210
ABC Iteration 52/100 | Best Fitness: 18880 | Violations: 210
ABC Iteration 53/100 | Best Fitness: 18848 | Violations: 210
ABC Iteration 54/100 | Best Fitness: 18821 | Violations: 209
ABC Iteration 55/100 | Best Fitness: 18813 | Violations: 209
ABC Iteration 56/100 | Best Fitness: 18535 | Violations: 210
ABC Iteration 57/100 | Best Fitness: 18535 | Violations: 210
ABC Iteration 58/100 | Best Fitness: 18535 | Violations: 210
ABC Iteration 59/100 | Best Fitness: 18535 | Violations: 210
ABC Iteration 60/100 | Best Fitness: 18494 | Violations: 198
ABC Iteration 61/100 | Best Fitness: 18479 | Violations: 198
ABC Iteration 62/100 | Best Fitness: 18379 | Violations: 198
ABC Iteration 63/100 | Best Fitness: 18352 | Violations: 214
ABC Iteration 64/100 | Best Fitness: 18154 | Violations: 214
ABC Iteration 65/100 | Best Fitness: 18154 | Violations: 214
ABC Iteration 66/100 | Best Fitness: 18154 | Violations: 214
ABC Iteration 67/100 | Best Fitness: 17943 | Violations: 214
ABC Iteration 68/100 | Best Fitness: 17843 | Violations: 214
ABC Iteration 69/100 | Best Fitness: 17843 | Violations: 214
ABC Iteration 70/100 | Best Fitness: 17750 | Violations: 210
ABC Iteration 71/100 | Best Fitness: 17650 | Violations: 210
ABC Iteration 72/100 | Best Fitness: 17550 | Violations: 210
ABC Iteration 73/100 | Best Fitness: 17445 | Violations: 210
ABC Iteration 74/100 | Best Fitness: 17445 | Violations: 210
ABC Iteration 75/100 | Best Fitness: 17445 | Violations: 210
ABC Iteration 76/100 | Best Fitness: 17251 | Violations: 210
ABC Iteration 77/100 | Best Fitness: 17251 | Violations: 210
ABC Iteration 78/100 | Best Fitness: 17244 | Violations: 210
ABC Iteration 79/100 | Best Fitness: 17244 | Violations: 210
ABC Iteration 80/100 | Best Fitness: 17244 | Violations: 210
ABC Iteration 81/100 | Best Fitness: 17244 | Violations: 210
ABC Iteration 82/100 | Best Fitness: 17144 | Violations: 210
ABC Iteration 83/100 | Best Fitness: 17144 | Violations: 210
ABC Iteration 84/100 | Best Fitness: 16944 | Violations: 210
ABC Iteration 85/100 | Best Fitness: 16851 | Violations: 210
ABC Iteration 86/100 | Best Fitness: 16759 | Violations: 210
ABC Iteration 87/100 | Best Fitness: 16759 | Violations: 210
ABC Iteration 88/100 | Best Fitness: 16759 | Violations: 210
ABC Iteration 89/100 | Best Fitness: 16759 | Violations: 210
ABC Iteration 90/100 | Best Fitness: 16651 | Violations: 210
ABC Iteration 91/100 | Best Fitness: 16551 | Violations: 210
ABC Iteration 92/100 | Best Fitness: 16451 | Violations: 210
ABC Iteration 93/100 | Best Fitness: 16451 | Violations: 210
ABC Iteration 94/100 | Best Fitness: 16351 | Violations: 210
ABC Iteration 95/100 | Best Fitness: 16251 | Violations: 210
ABC Iteration 96/100 | Best Fitness: 16156 | Violations: 210
ABC Iteration 97/100 | Best Fitness: 16156 | Violations: 210
ABC Iteration 98/100 | Best Fitness: 16156 | Violations: 210
ABC Iteration 99/100 | Best Fitness: 16156 | Violations: 210
ABC Iteration 100/100 | Best Fitness: 16156 | Violations: 210

--- ABC Run Finished ---
Final Best Fitness: 16156
Final Hard Constraint Violations: 149
