
--- Running Artificial Bee Colony Optimization with MLflow Logging ---
ABC Iteration 1/100 | Best Fitness: 20688 | Violations: 196
ABC Iteration 91/100 | Best Fitness: 16997 | Violations: 217
ABC Iteration 92/100 | Best Fitness: 16797 | Violations: 217
ABC Iteration 93/100 | Best Fitness: 16497 | Violations: 217
ABC Iteration 94/100 | Best Fitness: 16399 | Violations: 217
ABC Iteration 95/100 | Best Fitness: 16392 | Violations: 217
ABC Iteration 96/100 | Best Fitness: 16292 | Violations: 217
ABC Iteration 97/100 | Best Fitness: 16292 | Violations: 217
ABC Iteration 98/100 | Best Fitness: 16292 | Violations: 217
ABC Iteration 99/100 | Best Fitness: 16292 | Violations: 217
ABC Iteration 100/100 | Best Fitness: 16292 | Violations: 217

--- ABC Run Finished ---
Final Best Fitness: 16292
Final Hard Constraint Violations: 152
