
--- Menjalankan Particle Swarm Optimization ---
PSO Iteration 133/200 | Best Fitness: 20513
PSO Iteration 134/200 | Best Fitness: 20513
PSO Iteration 135/200 | Best Fitness: 20513
PSO Iteration 136/200 | Best Fitness: 20513
PSO Iteration 137/200 | Best Fitness: 20513
PSO Iteration 138/200 | Best Fitness: 20513
PSO Iteration 139/200 | Best Fitness: 20513
PSO Iteration 140/200 | Best Fitness: 20513
PSO Iteration 141/200 | Best Fitness: 20513
PSO Iteration 142/200 | Best Fitness: 20513
PSO Iteration 143/200 | Best Fitness: 20513
PSO Iteration 144/200 | Best Fitness: 20513
PSO Iteration 145/200 | Best Fitness: 20513
PSO Iteration 146/200 | Best Fitness: 20513
PSO Iteration 147/200 | Best Fitness: 20513
PSO Iteration 148/200 | Best Fitness: 20513
PSO Iteration 149/200 | Best Fitness: 20513
PSO Iteration 150/200 | Best Fitness: 20513
PSO Iteration 151/200 | Best Fitness: 20513
PSO Iteration 152/200 | Best Fitness: 20513
PSO Iteration 153/200 | Best Fitness: 20513
PSO Iteration 154/200 | Best Fitness: 20513
PSO Iteration 155/200 | Best Fitness: 20513
PSO Iteration 156/200 | Best Fitness: 20513
PSO Iteration 157/200 | Best Fitness: 20513
PSO Iteration 158/200 | Best Fitness: 20513
PSO Iteration 159/200 | Best Fitness: 20513
PSO Iteration 160/200 | Best Fitness: 20513
PSO Iteration 161/200 | Best Fitness: 20513
PSO Iteration 162/200 | Best Fitness: 20513
PSO Iteration 163/200 | Best Fitness: 20513
PSO Iteration 164/200 | Best Fitness: 20513
PSO Iteration 165/200 | Best Fitness: 20513
PSO Iteration 166/200 | Best Fitness: 20513
PSO Iteration 167/200 | Best Fitness: 20513
PSO Iteration 168/200 | Best Fitness: 20513
PSO Iteration 169/200 | Best Fitness: 20513
PSO Iteration 170/200 | Best Fitness: 20513
PSO Iteration 171/200 | Best Fitness: 20513
PSO Iteration 172/200 | Best Fitness: 20513
PSO Iteration 173/200 | Best Fitness: 20513
PSO Iteration 174/200 | Best Fitness: 20513
PSO Iteration 175/200 | Best Fitness: 20513
PSO Iteration 176/200 | Best Fitness: 20513
PSO Iteration 177/200 | Best Fitness: 20513
PSO Iteration 178/200 | Best Fitness: 20513
PSO Iteration 179/200 | Best Fitness: 20513
PSO Iteration 180/200 | Best Fitness: 20513
PSO Iteration 181/200 | Best Fitness: 20513
PSO Iteration 182/200 | Best Fitness: 20513
PSO Iteration 183/200 | Best Fitness: 20513
PSO Iteration 184/200 | Best Fitness: 20513
PSO Iteration 185/200 | Best Fitness: 20513
PSO Iteration 186/200 | Best Fitness: 20513
PSO Iteration 187/200 | Best Fitness: 20513
PSO Iteration 188/200 | Best Fitness: 20513
PSO Iteration 189/200 | Best Fitness: 20513
PSO Iteration 190/200 | Best Fitness: 20513
PSO Iteration 191/200 | Best Fitness: 20513
PSO Iteration 192/200 | Best Fitness: 20513
PSO Iteration 193/200 | Best Fitness: 20513
PSO Iteration 194/200 | Best Fitness: 20513
PSO Iteration 195/200 | Best Fitness: 20513
PSO Iteration 196/200 | Best Fitness: 20513
PSO Iteration 197/200 | Best Fitness: 20513
PSO Iteration 198/200 | Best Fitness: 20513
PSO Iteration 199/200 | Best Fitness: 20513
PSO Iteration 200/200 | Best Fitness: 20513

--- Hasil PSO ---
Skor Fitness Terbaik: 20513
Jumlah Pelanggaran Hard Constraint: 201
Jadwal terbaik dari PSO disimpan sebagai 'jadwal_pso.csv'
