iterations,fitness,violations
1,2166,18
2,2166,18
3,2166,18
4,1988,16
5,1865,15
6,1865,15
7,1865,15
8,1865,15
9,1865,15
10,1865,15
11,1865,15
12,1865,15
13,1865,15
14,1865,15
15,1865,15
16,1865,15
17,1865,15
18,1865,15
19,1865,15
20,1865,15
21,1865,15
22,1865,15
23,1865,15
24,1865,15
25,1865,15
26,1865,15
27,1865,15
28,1865,15
29,1865,15
30,1865,15
31,1865,15
32,1865,15
33,1865,15
34,1865,15
35,1865,15
36,1865,15
37,1865,15
38,1865,15
39,1865,15
40,1865,15
41,1865,15
42,1865,15
43,1865,15
44,1865,15
45,1865,15
46,1865,15
47,1865,15
48,1865,15
49,1865,15
50,1865,15
51,1865,15
52,1865,15
53,1865,15
54,1865,15
55,1865,15
56,1865,15
57,1865,15
58,1865,15
59,1865,15
60,1865,15
61,1865,15
62,1865,15
63,1865,15
64,1865,15
65,1865,15
66,1865,15
67,1865,15
68,1865,15
69,1865,15
70,1865,15
71,1865,15
72,1865,15
73,1865,15
74,1865,15
75,1865,15
76,1865,15
77,1865,15
78,1865,15
79,1865,15
80,1865,15
81,1865,15
82,1865,15
83,1865,15
84,1865,15
85,1865,15
86,1865,15
87,1865,15
88,1865,15
89,1865,15
90,1865,15
91,1865,15
92,1865,15
93,1865,15
94,1865,15
95,1865,15
96,1865,15
97,1865,15
98,1865,15
99,1865,15
100,1865,15
