Algorithm,Fit_Best,Fit_Worst,Fit_Mean,Fit_Std,Vio_Best,Vio_Worst,Vio_Mean,Vio_Std
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/PTI/MLFLOW_ITERATION_100_PTI_10/ACO,1494,1877,1503.69,57.31,12.0,16.0,12.1,0.59
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/PTI/MLFLOW_ITERATION_100_PTI_10/PSO,1616,1616,1616.0,0.0,13.0,13.0,13.0,
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/PTI/MLFLOW_ITERATION_100_PTI_10/POA,255,1888,427.79,303.79,0.0,16.0,1.66,2.92
/HOME/EMERY/DOCUMENTS/SCHEDULING_PUMA_OPTIMIZER/DOCS/MLFLOW/PTI/MLFLOW_ITERATION_100_PTI_10/ABC,457,1839,792.64,407.61,16.0,20.0,19.52,1.31
