
--- Running Artificial Bee Colony Optimization with MLflow Logging ---
ABC Iteration 1/100 | Best Fitness: 20296 | Violations: 190
ABC Iteration 2/100 | Best Fitness: 20296 | Violations: 190
ABC Iteration 3/100 | Best Fitness: 20296 | Violations: 190
ABC Iteration 4/100 | Best Fitness: 20296 | Violations: 190
ABC Iteration 5/100 | Best Fitness: 20185 | Violations: 190
ABC Iteration 6/100 | Best Fitness: 20086 | Violations: 190
ABC Iteration 7/100 | Best Fitness: 19886 | Violations: 190
ABC Iteration 8/100 | Best Fitness: 19886 | Violations: 190
ABC Iteration 9/100 | Best Fitness: 19886 | Violations: 190
ABC Iteration 10/100 | Best Fitness: 19886 | Violations: 190
ABC Iteration 11/100 | Best Fitness: 19886 | Violations: 190
ABC Iteration 12/100 | Best Fitness: 19886 | Violations: 190
ABC Iteration 13/100 | Best Fitness: 19686 | Violations: 190
ABC Iteration 14/100 | Best Fitness: 19586 | Violations: 190
ABC Iteration 15/100 | Best Fitness: 19286 | Violations: 190
ABC Iteration 16/100 | Best Fitness: 19186 | Violations: 190
ABC Iteration 17/100 | Best Fitness: 19186 | Violations: 190
ABC Iteration 18/100 | Best Fitness: 19186 | Violations: 190
ABC Iteration 19/100 | Best Fitness: 19086 | Violations: 190
ABC Iteration 20/100 | Best Fitness: 19086 | Violations: 190
ABC Iteration 21/100 | Best Fitness: 18986 | Violations: 190
ABC Iteration 22/100 | Best Fitness: 18986 | Violations: 190
ABC Iteration 23/100 | Best Fitness: 18886 | Violations: 190
ABC Iteration 24/100 | Best Fitness: 18786 | Violations: 190
ABC Iteration 25/100 | Best Fitness: 18686 | Violations: 190
ABC Iteration 26/100 | Best Fitness: 18486 | Violations: 190
ABC Iteration 27/100 | Best Fitness: 18479 | Violations: 190
ABC Iteration 28/100 | Best Fitness: 18379 | Violations: 190
ABC Iteration 29/100 | Best Fitness: 18377 | Violations: 190
ABC Iteration 30/100 | Best Fitness: 18377 | Violations: 190
ABC Iteration 31/100 | Best Fitness: 18377 | Violations: 190
ABC Iteration 32/100 | Best Fitness: 18277 | Violations: 190
ABC Iteration 33/100 | Best Fitness: 18177 | Violations: 190
ABC Iteration 34/100 | Best Fitness: 18071 | Violations: 190
ABC Iteration 35/100 | Best Fitness: 18071 | Violations: 190
ABC Iteration 36/100 | Best Fitness: 17976 | Violations: 190
ABC Iteration 37/100 | Best Fitness: 17880 | Violations: 190
ABC Iteration 38/100 | Best Fitness: 17780 | Violations: 190
ABC Iteration 39/100 | Best Fitness: 17578 | Violations: 190
ABC Iteration 40/100 | Best Fitness: 17380 | Violations: 190
ABC Iteration 41/100 | Best Fitness: 17282 | Violations: 190
ABC Iteration 42/100 | Best Fitness: 17182 | Violations: 190
ABC Iteration 43/100 | Best Fitness: 17182 | Violations: 190
ABC Iteration 44/100 | Best Fitness: 17182 | Violations: 190
ABC Iteration 45/100 | Best Fitness: 17174 | Violations: 190
ABC Iteration 46/100 | Best Fitness: 17174 | Violations: 190
ABC Iteration 47/100 | Best Fitness: 17174 | Violations: 190
ABC Iteration 48/100 | Best Fitness: 17081 | Violations: 190
ABC Iteration 49/100 | Best Fitness: 17081 | Violations: 190
ABC Iteration 50/100 | Best Fitness: 16981 | Violations: 190
ABC Iteration 51/100 | Best Fitness: 16881 | Violations: 190
ABC Iteration 52/100 | Best Fitness: 16785 | Violations: 190
ABC Iteration 53/100 | Best Fitness: 16785 | Violations: 190
ABC Iteration 54/100 | Best Fitness: 16785 | Violations: 190
ABC Iteration 55/100 | Best Fitness: 16685 | Violations: 190
ABC Iteration 56/100 | Best Fitness: 16585 | Violations: 190
ABC Iteration 57/100 | Best Fitness: 16485 | Violations: 190
ABC Iteration 58/100 | Best Fitness: 16478 | Violations: 190
ABC Iteration 59/100 | Best Fitness: 16278 | Violations: 190
ABC Iteration 60/100 | Best Fitness: 16278 | Violations: 190
ABC Iteration 61/100 | Best Fitness: 16278 | Violations: 190
ABC Iteration 62/100 | Best Fitness: 16278 | Violations: 190
ABC Iteration 63/100 | Best Fitness: 16278 | Violations: 190
ABC Iteration 64/100 | Best Fitness: 16278 | Violations: 190
ABC Iteration 65/100 | Best Fitness: 15978 | Violations: 190
ABC Iteration 66/100 | Best Fitness: 15978 | Violations: 190
ABC Iteration 67/100 | Best Fitness: 15978 | Violations: 190
ABC Iteration 68/100 | Best Fitness: 15978 | Violations: 190
ABC Iteration 69/100 | Best Fitness: 15972 | Violations: 190
ABC Iteration 70/100 | Best Fitness: 15972 | Violations: 190
ABC Iteration 71/100 | Best Fitness: 15779 | Violations: 190
