iterations,fitness,violations
1,21462,202
2,21462,202
3,21462,202
4,21462,202
5,21362,202
6,21262,202
7,21262,202
8,21262,202
9,21262,202
10,21088,208
11,20888,208
12,20788,208
13,20788,208
14,20788,208
15,20688,208
16,20688,208
17,20588,208
18,20488,208
19,20388,208
20,20280,208
21,20272,208
22,20165,208
23,20086,207
24,19986,207
25,19794,207
26,19788,207
27,19683,207
28,19673,208
29,19585,207
30,19466,208
31,19466,208
32,19466,208
33,19466,208
34,19366,208
35,19266,208
36,19266,208
37,19166,208
38,19166,208
39,19164,208
40,19164,208
41,19072,208
42,19065,208
43,19065,208
44,18965,208
45,18865,208
46,18571,208
47,18571,208
48,18473,208
49,18473,208
50,18473,208
51,18473,208
52,18473,208
53,18473,208
54,18473,208
55,18373,208
56,18373,208
57,18373,208
58,18373,208
59,18364,208
60,18364,208
61,18264,208
62,18064,208
63,18064,208
64,18064,208
65,18064,208
66,18064,208
67,17870,208
68,17870,208
69,17870,208
70,17870,208
71,17870,208
72,17870,208
73,17770,208
74,17770,208
75,17770,208
76,17570,208
77,17570,208
78,17570,208
79,17570,208
80,17470,208
81,17370,208
82,17370,208
83,17370,208
84,17370,208
85,17370,208
86,17370,208
87,17093,207
88,17093,207
89,16991,207
90,16986,207
91,16961,208
92,16961,208
93,16861,208
94,16754,208
95,16654,208
96,16454,208
97,16454,208
98,16354,208
99,16354,208
100,16354,208
