
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 1/100 | Current Best Fitness: 20668 | Violations: 194
POA Generation 2/100 | Current Best Fitness: 19809 | Violations: 185
POA Generation 3/100 | Current Best Fitness: 19385 | Violations: 181
POA Generation 4/100 | Current Best Fitness: 18796 | Violations: 175
POA Generation 5/100 | Current Best Fitness: 18572 | Violations: 173
POA Generation 6/100 | Current Best Fitness: 18365 | Violations: 171
POA Generation 7/100 | Current Best Fitness: 18165 | Violations: 169
POA Generation 8/100 | Current Best Fitness: 18065 | Violations: 168
POA Generation 9/100 | Current Best Fitness: 17965 | Violations: 167
POA Generation 10/100 | Current Best Fitness: 17865 | Violations: 166
POA Generation 11/100 | Current Best Fitness: 17765 | Violations: 165
POA Generation 12/100 | Current Best Fitness: 17672 | Violations: 164
POA Generation 13/100 | Current Best Fitness: 17670 | Violations: 164
POA Generation 14/100 | Current Best Fitness: 17570 | Violations: 163
POA Generation 15/100 | Current Best Fitness: 17370 | Violations: 161
POA Generation 16/100 | Current Best Fitness: 17370 | Violations: 161
POA Generation 17/100 | Current Best Fitness: 17270 | Violations: 160
POA Generation 18/100 | Current Best Fitness: 17263 | Violations: 160
POA Generation 19/100 | Current Best Fitness: 17170 | Violations: 159
POA Generation 20/100 | Current Best Fitness: 17063 | Violations: 158
POA Generation 21/100 | Current Best Fitness: 17063 | Violations: 158
POA Generation 22/100 | Current Best Fitness: 16963 | Violations: 157
POA Generation 23/100 | Current Best Fitness: 16763 | Violations: 155
POA Generation 24/100 | Current Best Fitness: 16563 | Violations: 153
POA Generation 25/100 | Current Best Fitness: 16463 | Violations: 152
POA Generation 26/100 | Current Best Fitness: 16363 | Violations: 151
POA Generation 27/100 | Current Best Fitness: 16357 | Violations: 151
POA Generation 28/100 | Current Best Fitness: 16357 | Violations: 151
POA Generation 29/100 | Current Best Fitness: 16357 | Violations: 151
POA Generation 30/100 | Current Best Fitness: 16257 | Violations: 150
POA Generation 31/100 | Current Best Fitness: 16057 | Violations: 148
POA Generation 32/100 | Current Best Fitness: 15957 | Violations: 147
POA Generation 33/100 | Current Best Fitness: 15857 | Violations: 146
POA Generation 34/100 | Current Best Fitness: 15757 | Violations: 145
POA Generation 35/100 | Current Best Fitness: 15557 | Violations: 143
POA Generation 36/100 | Current Best Fitness: 15457 | Violations: 142
POA Generation 37/100 | Current Best Fitness: 15357 | Violations: 141
POA Generation 38/100 | Current Best Fitness: 15257 | Violations: 140
POA Generation 39/100 | Current Best Fitness: 15164 | Violations: 139
POA Generation 40/100 | Current Best Fitness: 15157 | Violations: 139
POA Generation 41/100 | Current Best Fitness: 15149 | Violations: 139
POA Generation 42/100 | Current Best Fitness: 15149 | Violations: 139
POA Generation 43/100 | Current Best Fitness: 15049 | Violations: 138
POA Generation 44/100 | Current Best Fitness: 14957 | Violations: 137
POA Generation 45/100 | Current Best Fitness: 14857 | Violations: 136
POA Generation 46/100 | Current Best Fitness: 14756 | Violations: 135
POA Generation 47/100 | Current Best Fitness: 14656 | Violations: 134
POA Generation 48/100 | Current Best Fitness: 14556 | Violations: 133
POA Generation 49/100 | Current Best Fitness: 14556 | Violations: 133
POA Generation 50/100 | Current Best Fitness: 14464 | Violations: 132
POA Generation 51/100 | Current Best Fitness: 14364 | Violations: 131
POA Generation 52/100 | Current Best Fitness: 14357 | Violations: 131
