
--- Running Artificial Bee Colony Optimization with MLflow Logging ---
ABC Iteration 1/100 | Best Fitness: 20937 | Violations: 199
ABC Iteration 2/100 | Best Fitness: 20637 | Violations: 199
ABC Iteration 3/100 | Best Fitness: 20637 | Violations: 199
ABC Iteration 4/100 | Best Fitness: 20637 | Violations: 199
ABC Iteration 5/100 | Best Fitness: 20637 | Violations: 199
ABC Iteration 6/100 | Best Fitness: 20537 | Violations: 199
ABC Iteration 7/100 | Best Fitness: 20537 | Violations: 199
ABC Iteration 8/100 | Best Fitness: 20337 | Violations: 199
ABC Iteration 9/100 | Best Fitness: 20228 | Violations: 199
ABC Iteration 10/100 | Best Fitness: 20228 | Violations: 199
ABC Iteration 11/100 | Best Fitness: 20228 | Violations: 199
ABC Iteration 12/100 | Best Fitness: 20130 | Violations: 199
ABC Iteration 13/100 | Best Fitness: 20130 | Violations: 199
ABC Iteration 14/100 | Best Fitness: 20030 | Violations: 199
ABC Iteration 15/100 | Best Fitness: 19923 | Violations: 199
ABC Iteration 16/100 | Best Fitness: 19823 | Violations: 199
ABC Iteration 17/100 | Best Fitness: 19723 | Violations: 199
ABC Iteration 18/100 | Best Fitness: 19623 | Violations: 199
ABC Iteration 19/100 | Best Fitness: 19623 | Violations: 199
ABC Iteration 20/100 | Best Fitness: 19523 | Violations: 199
ABC Iteration 21/100 | Best Fitness: 19523 | Violations: 199
ABC Iteration 22/100 | Best Fitness: 19423 | Violations: 199
ABC Iteration 23/100 | Best Fitness: 19323 | Violations: 199
ABC Iteration 24/100 | Best Fitness: 19323 | Violations: 199
ABC Iteration 25/100 | Best Fitness: 19131 | Violations: 199
ABC Iteration 26/100 | Best Fitness: 19031 | Violations: 199
ABC Iteration 27/100 | Best Fitness: 18931 | Violations: 199
ABC Iteration 28/100 | Best Fitness: 18931 | Violations: 199
ABC Iteration 29/100 | Best Fitness: 18931 | Violations: 199
ABC Iteration 30/100 | Best Fitness: 18931 | Violations: 199
ABC Iteration 31/100 | Best Fitness: 18924 | Violations: 199
ABC Iteration 32/100 | Best Fitness: 18924 | Violations: 199
ABC Iteration 33/100 | Best Fitness: 18924 | Violations: 199
ABC Iteration 34/100 | Best Fitness: 18841 | Violations: 199
ABC Iteration 35/100 | Best Fitness: 18841 | Violations: 199
ABC Iteration 36/100 | Best Fitness: 18841 | Violations: 199
ABC Iteration 37/100 | Best Fitness: 18834 | Violations: 199
ABC Iteration 38/100 | Best Fitness: 18734 | Violations: 199
ABC Iteration 39/100 | Best Fitness: 18734 | Violations: 199
ABC Iteration 40/100 | Best Fitness: 18734 | Violations: 199
ABC Iteration 41/100 | Best Fitness: 18734 | Violations: 199
ABC Iteration 42/100 | Best Fitness: 18734 | Violations: 199
ABC Iteration 43/100 | Best Fitness: 18727 | Violations: 206
