
--- Running Artificial Bee Colony Optimization with MLflow Logging ---
ABC Iteration 1/100 | Best Fitness: 21008 | Violations: 199
ABC Iteration 2/100 | Best Fitness: 20906 | Violations: 199
ABC Iteration 3/100 | Best Fitness: 20800 | Violations: 199
ABC Iteration 4/100 | Best Fitness: 20700 | Violations: 199
ABC Iteration 5/100 | Best Fitness: 20606 | Violations: 199
ABC Iteration 6/100 | Best Fitness: 20606 | Violations: 199
ABC Iteration 7/100 | Best Fitness: 20604 | Violations: 199
ABC Iteration 8/100 | Best Fitness: 20604 | Violations: 199
ABC Iteration 9/100 | Best Fitness: 20604 | Violations: 199
ABC Iteration 10/100 | Best Fitness: 20525 | Violations: 203
ABC Iteration 11/100 | Best Fitness: 20327 | Violations: 203
ABC Iteration 12/100 | Best Fitness: 20317 | Violations: 199
ABC Iteration 13/100 | Best Fitness: 20227 | Violations: 203
ABC Iteration 14/100 | Best Fitness: 20127 | Violations: 203
ABC Iteration 15/100 | Best Fitness: 20127 | Violations: 203
ABC Iteration 16/100 | Best Fitness: 20127 | Violations: 203
ABC Iteration 17/100 | Best Fitness: 20127 | Violations: 203
ABC Iteration 18/100 | Best Fitness: 20127 | Violations: 203
ABC Iteration 19/100 | Best Fitness: 20127 | Violations: 203
ABC Iteration 20/100 | Best Fitness: 20027 | Violations: 203
ABC Iteration 21/100 | Best Fitness: 20027 | Violations: 203
ABC Iteration 22/100 | Best Fitness: 19921 | Violations: 203
ABC Iteration 23/100 | Best Fitness: 19921 | Violations: 203
ABC Iteration 24/100 | Best Fitness: 19805 | Violations: 203
ABC Iteration 25/100 | Best Fitness: 19805 | Violations: 203
ABC Iteration 26/100 | Best Fitness: 19805 | Violations: 203
ABC Iteration 27/100 | Best Fitness: 19805 | Violations: 203
ABC Iteration 28/100 | Best Fitness: 19805 | Violations: 203
ABC Iteration 29/100 | Best Fitness: 19705 | Violations: 203
ABC Iteration 30/100 | Best Fitness: 19705 | Violations: 203
ABC Iteration 31/100 | Best Fitness: 19396 | Violations: 203
ABC Iteration 32/100 | Best Fitness: 19296 | Violations: 203
ABC Iteration 33/100 | Best Fitness: 19196 | Violations: 203
ABC Iteration 34/100 | Best Fitness: 19096 | Violations: 203
ABC Iteration 35/100 | Best Fitness: 19096 | Violations: 203
ABC Iteration 36/100 | Best Fitness: 19096 | Violations: 203
ABC Iteration 37/100 | Best Fitness: 18896 | Violations: 203
ABC Iteration 38/100 | Best Fitness: 18896 | Violations: 203
ABC Iteration 39/100 | Best Fitness: 18896 | Violations: 203
ABC Iteration 40/100 | Best Fitness: 18896 | Violations: 203
ABC Iteration 41/100 | Best Fitness: 18896 | Violations: 203
