
--- Running Artificial Bee Colony Optimization with MLflow Logging ---
ABC Iteration 1/100 | Best Fitness: 20630 | Violations: 194
ABC Iteration 2/100 | Best Fitness: 20630 | Violations: 194
ABC Iteration 3/100 | Best Fitness: 20630 | Violations: 194
ABC Iteration 4/100 | Best Fitness: 20323 | Violations: 194
ABC Iteration 5/100 | Best Fitness: 20223 | Violations: 194
ABC Iteration 6/100 | Best Fitness: 20221 | Violations: 194
ABC Iteration 7/100 | Best Fitness: 20221 | Violations: 194
ABC Iteration 8/100 | Best Fitness: 20121 | Violations: 194
ABC Iteration 9/100 | Best Fitness: 20121 | Violations: 194
ABC Iteration 10/100 | Best Fitness: 20121 | Violations: 194
ABC Iteration 11/100 | Best Fitness: 20021 | Violations: 194
ABC Iteration 12/100 | Best Fitness: 20021 | Violations: 194
ABC Iteration 13/100 | Best Fitness: 19921 | Violations: 194
ABC Iteration 14/100 | Best Fitness: 19721 | Violations: 194
ABC Iteration 15/100 | Best Fitness: 19327 | Violations: 194
ABC Iteration 16/100 | Best Fitness: 19227 | Violations: 194
ABC Iteration 17/100 | Best Fitness: 19035 | Violations: 194
ABC Iteration 18/100 | Best Fitness: 19035 | Violations: 194
ABC Iteration 19/100 | Best Fitness: 19035 | Violations: 194
ABC Iteration 20/100 | Best Fitness: 19035 | Violations: 194
ABC Iteration 21/100 | Best Fitness: 18943 | Violations: 194
ABC Iteration 22/100 | Best Fitness: 18941 | Violations: 194
ABC Iteration 23/100 | Best Fitness: 18841 | Violations: 194
ABC Iteration 24/100 | Best Fitness: 18841 | Violations: 194
ABC Iteration 25/100 | Best Fitness: 18841 | Violations: 194
ABC Iteration 26/100 | Best Fitness: 18841 | Violations: 194
ABC Iteration 27/100 | Best Fitness: 18741 | Violations: 194
ABC Iteration 28/100 | Best Fitness: 18641 | Violations: 194
ABC Iteration 29/100 | Best Fitness: 18541 | Violations: 194
ABC Iteration 30/100 | Best Fitness: 18541 | Violations: 194
ABC Iteration 31/100 | Best Fitness: 18541 | Violations: 194
ABC Iteration 32/100 | Best Fitness: 18541 | Violations: 194
ABC Iteration 33/100 | Best Fitness: 18541 | Violations: 194
ABC Iteration 34/100 | Best Fitness: 18541 | Violations: 194
ABC Iteration 35/100 | Best Fitness: 18441 | Violations: 194
ABC Iteration 36/100 | Best Fitness: 18241 | Violations: 194
ABC Iteration 37/100 | Best Fitness: 18241 | Violations: 194
ABC Iteration 38/100 | Best Fitness: 18241 | Violations: 194
ABC Iteration 39/100 | Best Fitness: 18241 | Violations: 194
ABC Iteration 40/100 | Best Fitness: 18241 | Violations: 194
ABC Iteration 41/100 | Best Fitness: 18241 | Violations: 194
ABC Iteration 42/100 | Best Fitness: 18241 | Violations: 194
ABC Iteration 43/100 | Best Fitness: 18241 | Violations: 194
ABC Iteration 44/100 | Best Fitness: 18236 | Violations: 194
ABC Iteration 45/100 | Best Fitness: 18136 | Violations: 194
ABC Iteration 46/100 | Best Fitness: 18136 | Violations: 194
ABC Iteration 47/100 | Best Fitness: 17936 | Violations: 194
ABC Iteration 48/100 | Best Fitness: 17836 | Violations: 194
