
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 1/100 | Current Best Fitness: 22067 | Violations: 208
POA Generation 2/100 | Current Best Fitness: 20586 | Violations: 194
POA Generation 3/100 | Current Best Fitness: 20107 | Violations: 189
POA Generation 4/100 | Current Best Fitness: 19508 | Violations: 183
POA Generation 5/100 | Current Best Fitness: 18828 | Violations: 176
POA Generation 6/100 | Current Best Fitness: 18406 | Violations: 172
POA Generation 7/100 | Current Best Fitness: 18312 | Violations: 171
POA Generation 8/100 | Current Best Fitness: 18206 | Violations: 170
POA Generation 9/100 | Current Best Fitness: 18106 | Violations: 169
POA Generation 10/100 | Current Best Fitness: 18006 | Violations: 168
POA Generation 11/100 | Current Best Fitness: 17906 | Violations: 167
POA Generation 12/100 | Current Best Fitness: 17806 | Violations: 166
POA Generation 13/100 | Current Best Fitness: 17806 | Violations: 166
POA Generation 14/100 | Current Best Fitness: 17806 | Violations: 166
POA Generation 15/100 | Current Best Fitness: 17699 | Violations: 165
POA Generation 16/100 | Current Best Fitness: 17599 | Violations: 164
POA Generation 17/100 | Current Best Fitness: 17499 | Violations: 163
POA Generation 18/100 | Current Best Fitness: 17499 | Violations: 163
POA Generation 19/100 | Current Best Fitness: 17399 | Violations: 162
POA Generation 20/100 | Current Best Fitness: 17299 | Violations: 161
POA Generation 21/100 | Current Best Fitness: 17199 | Violations: 160
POA Generation 22/100 | Current Best Fitness: 17099 | Violations: 159
POA Generation 23/100 | Current Best Fitness: 16999 | Violations: 158
POA Generation 24/100 | Current Best Fitness: 16999 | Violations: 158
POA Generation 25/100 | Current Best Fitness: 16899 | Violations: 157
POA Generation 26/100 | Current Best Fitness: 16799 | Violations: 156
POA Generation 27/100 | Current Best Fitness: 16799 | Violations: 156
POA Generation 28/100 | Current Best Fitness: 16699 | Violations: 155
POA Generation 29/100 | Current Best Fitness: 16599 | Violations: 154
POA Generation 30/100 | Current Best Fitness: 16406 | Violations: 152
POA Generation 31/100 | Current Best Fitness: 16306 | Violations: 151
POA Generation 32/100 | Current Best Fitness: 16206 | Violations: 150
POA Generation 33/100 | Current Best Fitness: 16106 | Violations: 149
POA Generation 34/100 | Current Best Fitness: 16106 | Violations: 149
POA Generation 35/100 | Current Best Fitness: 16006 | Violations: 148
POA Generation 36/100 | Current Best Fitness: 16006 | Violations: 148
POA Generation 37/100 | Current Best Fitness: 15906 | Violations: 147
POA Generation 38/100 | Current Best Fitness: 15806 | Violations: 146
POA Generation 39/100 | Current Best Fitness: 15806 | Violations: 146
POA Generation 40/100 | Current Best Fitness: 15706 | Violations: 145
POA Generation 41/100 | Current Best Fitness: 15706 | Violations: 145
POA Generation 42/100 | Current Best Fitness: 15606 | Violations: 144
POA Generation 43/100 | Current Best Fitness: 15604 | Violations: 144
POA Generation 44/100 | Current Best Fitness: 15597 | Violations: 144
POA Generation 45/100 | Current Best Fitness: 15597 | Violations: 144
POA Generation 46/100 | Current Best Fitness: 15497 | Violations: 143
POA Generation 47/100 | Current Best Fitness: 15418 | Violations: 142
POA Generation 48/100 | Current Best Fitness: 15318 | Violations: 141
POA Generation 49/100 | Current Best Fitness: 15311 | Violations: 141
POA Generation 50/100 | Current Best Fitness: 15305 | Violations: 141
POA Generation 51/100 | Current Best Fitness: 15205 | Violations: 140
POA Generation 52/100 | Current Best Fitness: 15205 | Violations: 140
POA Generation 53/100 | Current Best Fitness: 15114 | Violations: 139
POA Generation 54/100 | Current Best Fitness: 15014 | Violations: 138
POA Generation 55/100 | Current Best Fitness: 15014 | Violations: 138
POA Generation 56/100 | Current Best Fitness: 14914 | Violations: 137
POA Generation 57/100 | Current Best Fitness: 14912 | Violations: 137
POA Generation 58/100 | Current Best Fitness: 14814 | Violations: 136
POA Generation 59/100 | Current Best Fitness: 14802 | Violations: 136
POA Generation 60/100 | Current Best Fitness: 14621 | Violations: 134
POA Generation 61/100 | Current Best Fitness: 14511 | Violations: 133
POA Generation 62/100 | Current Best Fitness: 14411 | Violations: 132
POA Generation 63/100 | Current Best Fitness: 14305 | Violations: 131
POA Generation 64/100 | Current Best Fitness: 14305 | Violations: 131
POA Generation 65/100 | Current Best Fitness: 14205 | Violations: 130
POA Generation 66/100 | Current Best Fitness: 14105 | Violations: 129
POA Generation 67/100 | Current Best Fitness: 14105 | Violations: 129
POA Generation 68/100 | Current Best Fitness: 14005 | Violations: 128
POA Generation 69/100 | Current Best Fitness: 13905 | Violations: 127
POA Generation 70/100 | Current Best Fitness: 13805 | Violations: 126
POA Generation 71/100 | Current Best Fitness: 13805 | Violations: 126
POA Generation 72/100 | Current Best Fitness: 13707 | Violations: 125
POA Generation 73/100 | Current Best Fitness: 13707 | Violations: 125
POA Generation 74/100 | Current Best Fitness: 13607 | Violations: 124
POA Generation 75/100 | Current Best Fitness: 13507 | Violations: 123
POA Generation 76/100 | Current Best Fitness: 13507 | Violations: 123
POA Generation 77/100 | Current Best Fitness: 13407 | Violations: 122
POA Generation 78/100 | Current Best Fitness: 13407 | Violations: 122
POA Generation 79/100 | Current Best Fitness: 13407 | Violations: 122
POA Generation 80/100 | Current Best Fitness: 13405 | Violations: 122
POA Generation 81/100 | Current Best Fitness: 13305 | Violations: 121
POA Generation 82/100 | Current Best Fitness: 13205 | Violations: 120
POA Generation 83/100 | Current Best Fitness: 13205 | Violations: 120
POA Generation 84/100 | Current Best Fitness: 13099 | Violations: 119
POA Generation 85/100 | Current Best Fitness: 12999 | Violations: 118
POA Generation 86/100 | Current Best Fitness: 12997 | Violations: 118
POA Generation 87/100 | Current Best Fitness: 12890 | Violations: 117
POA Generation 88/100 | Current Best Fitness: 12890 | Violations: 117
POA Generation 89/100 | Current Best Fitness: 12890 | Violations: 117
POA Generation 90/100 | Current Best Fitness: 12790 | Violations: 116
POA Generation 91/100 | Current Best Fitness: 12690 | Violations: 115
POA Generation 92/100 | Current Best Fitness: 12690 | Violations: 115
POA Generation 93/100 | Current Best Fitness: 12590 | Violations: 114
POA Generation 94/100 | Current Best Fitness: 12590 | Violations: 114
POA Generation 95/100 | Current Best Fitness: 12490 | Violations: 113
POA Generation 96/100 | Current Best Fitness: 12390 | Violations: 112
POA Generation 97/100 | Current Best Fitness: 12390 | Violations: 112
POA Generation 98/100 | Current Best Fitness: 12290 | Violations: 111
POA Generation 99/100 | Current Best Fitness: 12190 | Violations: 110
POA Generation 100/100 | Current Best Fitness: 12190 | Violations: 110

--- POA Run Finished ---
Final Best Fitness: 12190
Final Hard Constraint Violations: 110
