kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIE61114,Pendidikan Orang Dewasa dan Berkelanjutan,Pendidikan Teknologi Informasi,2,Pengampu,59.0,['59.0'],reguler,F4.2,Jumat_17:50-18:40
CIE61115,Manajemen Sistem Pendidikan,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",39.0,['39.0'],reguler,F4.2,Selasa_13:40-14:30
CIE61119,Multimodal Storytelling,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F3.9,Kamis_17:50-18:40
CIE61119,Multimodal Storytelling,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F4.7,Rabu_12:50-13:40
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,1,Pengampu,11.0,['11.0'],reguler,F4.6,Selasa_07:00-07:50
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F4.11,Jumat_07:00-07:50
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.6,Rabu_09:30-10:20
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,2,Pengampu,12.0,['12.0'],reguler,F2.9,Senin_11:10-12:00
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,2,Pengampu,103.0,['103.0'],reguler,F3.7b,Kamis_12:00-12:50
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103.0,['103.0'],reguler,F4.12,Rabu_11:10-12:00
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F3.5a,Jumat_07:00-07:50
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F3.17,Rabu_11:10-12:00
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,Pengampu,75.0,['75.0'],reguler,F2.1,Kamis_14:30-15:20
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,Pengampu,82.0,['82.0'],reguler,F4.2,Jumat_13:40-14:30
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,Pengampu,105.0,['105.0'],reguler,F2.1,Rabu_12:50-13:40
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",17.0,['17.0'],reguler,F4.14,Senin_11:10-12:00
