
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 69/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 70/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 71/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 72/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 73/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 74/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 75/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 76/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 77/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 78/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 79/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 80/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 81/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 82/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 83/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 84/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 85/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 86/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 87/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 88/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 89/100 | Current Best Fitness: 442 | Violations: 1
POA Generation 90/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 91/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 92/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 93/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 94/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 95/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 96/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 97/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 98/100 | Current Best Fitness: 436 | Violations: 1
POA Generation 99/100 | Current Best Fitness: 336 | Violations: 0
POA Generation 100/100 | Current Best Fitness: 336 | Violations: 0

--- POA Run Finished ---
Final Best Fitness: 336
Final Hard Constraint Violations: 0
