
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 1/100 | Current Best Fitness: 21309 | Violations: 201
POA Generation 2/100 | Current Best Fitness: 19959 | Violations: 187
POA Generation 3/100 | Current Best Fitness: 19154 | Violations: 179
POA Generation 4/100 | Current Best Fitness: 18060 | Violations: 168
POA Generation 5/100 | Current Best Fitness: 17446 | Violations: 162
POA Generation 6/100 | Current Best Fitness: 17049 | Violations: 158
POA Generation 7/100 | Current Best Fitness: 16646 | Violations: 154
POA Generation 8/100 | Current Best Fitness: 16546 | Violations: 153
POA Generation 9/100 | Current Best Fitness: 16446 | Violations: 152
POA Generation 10/100 | Current Best Fitness: 16254 | Violations: 150
POA Generation 11/100 | Current Best Fitness: 16054 | Violations: 148
POA Generation 12/100 | Current Best Fitness: 16054 | Violations: 148
POA Generation 13/100 | Current Best Fitness: 16046 | Violations: 148
POA Generation 14/100 | Current Best Fitness: 15954 | Violations: 147
POA Generation 15/100 | Current Best Fitness: 15854 | Violations: 146
POA Generation 16/100 | Current Best Fitness: 15754 | Violations: 145
POA Generation 17/100 | Current Best Fitness: 15654 | Violations: 144
POA Generation 18/100 | Current Best Fitness: 15654 | Violations: 144
POA Generation 19/100 | Current Best Fitness: 15554 | Violations: 143
POA Generation 20/100 | Current Best Fitness: 15454 | Violations: 142
POA Generation 21/100 | Current Best Fitness: 15354 | Violations: 141
POA Generation 22/100 | Current Best Fitness: 15254 | Violations: 140
POA Generation 23/100 | Current Best Fitness: 15153 | Violations: 139
POA Generation 24/100 | Current Best Fitness: 15053 | Violations: 138
POA Generation 25/100 | Current Best Fitness: 15053 | Violations: 138
POA Generation 26/100 | Current Best Fitness: 14953 | Violations: 137
POA Generation 27/100 | Current Best Fitness: 14853 | Violations: 136
POA Generation 28/100 | Current Best Fitness: 14851 | Violations: 136
POA Generation 29/100 | Current Best Fitness: 14851 | Violations: 136
POA Generation 30/100 | Current Best Fitness: 14751 | Violations: 135
POA Generation 31/100 | Current Best Fitness: 14651 | Violations: 134
POA Generation 32/100 | Current Best Fitness: 14651 | Violations: 134
POA Generation 33/100 | Current Best Fitness: 14651 | Violations: 134
POA Generation 34/100 | Current Best Fitness: 14551 | Violations: 133
POA Generation 35/100 | Current Best Fitness: 14551 | Violations: 133
POA Generation 36/100 | Current Best Fitness: 14544 | Violations: 133
POA Generation 37/100 | Current Best Fitness: 14538 | Violations: 133
POA Generation 38/100 | Current Best Fitness: 14538 | Violations: 133
POA Generation 39/100 | Current Best Fitness: 14438 | Violations: 132
POA Generation 40/100 | Current Best Fitness: 14331 | Violations: 131
POA Generation 41/100 | Current Best Fitness: 14231 | Violations: 130
POA Generation 42/100 | Current Best Fitness: 14133 | Violations: 129
POA Generation 43/100 | Current Best Fitness: 14131 | Violations: 129
POA Generation 44/100 | Current Best Fitness: 14031 | Violations: 128
POA Generation 45/100 | Current Best Fitness: 13926 | Violations: 127
POA Generation 46/100 | Current Best Fitness: 13924 | Violations: 127
POA Generation 47/100 | Current Best Fitness: 13824 | Violations: 126
POA Generation 48/100 | Current Best Fitness: 13824 | Violations: 126
POA Generation 49/100 | Current Best Fitness: 13724 | Violations: 125
POA Generation 50/100 | Current Best Fitness: 13624 | Violations: 124
POA Generation 51/100 | Current Best Fitness: 13624 | Violations: 124
POA Generation 52/100 | Current Best Fitness: 13622 | Violations: 124
POA Generation 53/100 | Current Best Fitness: 13620 | Violations: 124
POA Generation 54/100 | Current Best Fitness: 13614 | Violations: 124
POA Generation 55/100 | Current Best Fitness: 13614 | Violations: 124
POA Generation 56/100 | Current Best Fitness: 13614 | Violations: 124
POA Generation 57/100 | Current Best Fitness: 13514 | Violations: 123
POA Generation 58/100 | Current Best Fitness: 13414 | Violations: 122
POA Generation 59/100 | Current Best Fitness: 13412 | Violations: 122
POA Generation 60/100 | Current Best Fitness: 13412 | Violations: 122
POA Generation 61/100 | Current Best Fitness: 13412 | Violations: 122
POA Generation 62/100 | Current Best Fitness: 13312 | Violations: 121
POA Generation 63/100 | Current Best Fitness: 13212 | Violations: 120
POA Generation 64/100 | Current Best Fitness: 13112 | Violations: 119
POA Generation 65/100 | Current Best Fitness: 13012 | Violations: 118
POA Generation 66/100 | Current Best Fitness: 12912 | Violations: 117
POA Generation 67/100 | Current Best Fitness: 12812 | Violations: 116
POA Generation 68/100 | Current Best Fitness: 12712 | Violations: 115
POA Generation 69/100 | Current Best Fitness: 12706 | Violations: 115
POA Generation 70/100 | Current Best Fitness: 12612 | Violations: 114
POA Generation 71/100 | Current Best Fitness: 12606 | Violations: 114
POA Generation 72/100 | Current Best Fitness: 12604 | Violations: 114
POA Generation 73/100 | Current Best Fitness: 12510 | Violations: 113
POA Generation 74/100 | Current Best Fitness: 12504 | Violations: 113
POA Generation 75/100 | Current Best Fitness: 12310 | Violations: 111
POA Generation 76/100 | Current Best Fitness: 12310 | Violations: 111
POA Generation 77/100 | Current Best Fitness: 12310 | Violations: 111
POA Generation 78/100 | Current Best Fitness: 12310 | Violations: 111
POA Generation 79/100 | Current Best Fitness: 12210 | Violations: 110
POA Generation 80/100 | Current Best Fitness: 12110 | Violations: 109
POA Generation 81/100 | Current Best Fitness: 12010 | Violations: 108
POA Generation 82/100 | Current Best Fitness: 11908 | Violations: 107
POA Generation 83/100 | Current Best Fitness: 11908 | Violations: 107
POA Generation 84/100 | Current Best Fitness: 11808 | Violations: 106
POA Generation 85/100 | Current Best Fitness: 11708 | Violations: 105
POA Generation 86/100 | Current Best Fitness: 11708 | Violations: 105
POA Generation 87/100 | Current Best Fitness: 11708 | Violations: 105
POA Generation 88/100 | Current Best Fitness: 11608 | Violations: 104
POA Generation 89/100 | Current Best Fitness: 11608 | Violations: 104
POA Generation 90/100 | Current Best Fitness: 11608 | Violations: 104
POA Generation 91/100 | Current Best Fitness: 11508 | Violations: 103
POA Generation 92/100 | Current Best Fitness: 11508 | Violations: 103
POA Generation 93/100 | Current Best Fitness: 11508 | Violations: 103
POA Generation 94/100 | Current Best Fitness: 11508 | Violations: 103
POA Generation 95/100 | Current Best Fitness: 11508 | Violations: 103
POA Generation 96/100 | Current Best Fitness: 11508 | Violations: 103
POA Generation 97/100 | Current Best Fitness: 11408 | Violations: 102
POA Generation 98/100 | Current Best Fitness: 11308 | Violations: 101
POA Generation 99/100 | Current Best Fitness: 11208 | Violations: 100
POA Generation 100/100 | Current Best Fitness: 11108 | Violations: 99

--- POA Run Finished ---
Final Best Fitness: 11108
Final Hard Constraint Violations: 99
